iter	Passed	Remaining
924	10215	828
925	10223	816
926	10231	805
927	10238	794
928	10245	783
929	10252	771
930	10260	760
931	10267	749
932	10275	737
933	10282	726
934	10290	715
935	10297	704
936	10303	692
937	10311	681
938	10320	670
939	10328	659
940	10336	648
941	10344	636
942	10352	625
943	10360	614
944	10368	603
945	10376	592
946	10385	581
947	10396	570
948	10404	559
949	10413	548
950	10421	536
951	10428	525
952	10436	514
953	10444	503
954	10452	492
955	10459	481
956	10466	470
957	10473	459
958	10480	448
959	10489	437
960	10495	425
961	10504	414
962	10511	403
963	10520	392
964	10527	381
965	10535	370
966	10541	359
967	10547	348
968	10556	337
969	10562	326
970	10570	315
971	10577	304
972	10585	293
973	10593	282
974	10600	271
975	10608	260
976	10617	249
977	10626	239
978	10636	228
979	10645	217
980	10657	206
981	10666	195
982	10675	184
983	10687	173
984	10695	162
985	10705	152
986	10715	141
987	10724	130
988	10732	119
989	10741	108
990	10749	97
991	10757	86
992	10766	75
993	10775	65
994	10784	54
995	10792	43
996	10802	32
997	10814	21
998	10827	10
999	10845	0
